b0	b_age	b_age2	b_ays	b_ayqs	b_ys	b_yqs
-8.0983048399419900000000	0.0315220893663834000000	0.0004212541958342780000	-0.0007306088192403850000	0.0003282100864029690000	0.0651031781925914000000	-0.0351524235271749000000
-8.0113364323325000000000	0.0295101576034330000000	0.0004336372629185680000	-0.0007238200470860360000	0.0004410366015434030000	0.0645589748883653000000	-0.0429322409673632000000
-8.1660858640927800000000	0.0336937724398297000000	0.0004052354060602560000	-0.0007297651608541130000	0.0003580195226961780000	0.0650950169081674000000	-0.0368781239693682000000
-8.1034775912417400000000	0.0316580978646561000000	0.0004212047946414850000	-0.0007465696212060460000	0.0003524142784315800000	0.0663021653136617000000	-0.0369601268135857000000
-8.1281694924573400000000	0.0326596340734311000000	0.0004121400887236880000	-0.0007398315387230510000	0.0004100553734248530000	0.0657653282595690000000	-0.0406289283853156000000
-8.0783845768618500000000	0.0310119562246765000000	0.0004243240697436180000	-0.0007343773739942780000	0.0003651455458866340000	0.0654359698579183000000	-0.0374817162986996000000
-8.0925652014732300000000	0.0321071701700863000000	0.0004134163376097010000	-0.0007008157065401010000	0.0003601325882802490000	0.0631354881660430000000	-0.0379110822381510000000
-8.0658643078637700000000	0.0307754238295846000000	0.0004260286448866090000	-0.0007451868698478280000	0.0004465454107403350000	0.0661541049398444000000	-0.0432889288583272000000
-8.1218832324004500000000	0.0321322650516657000000	0.0004171140285289850000	-0.0007402069477070990000	0.0003373701792208870000	0.0657630620087980000000	-0.0352786228621584000000
-8.1470493480642700000000	0.0339341731481030000000	0.0003969072033634330000	-0.0007265189543772060000	0.0004045748384135850000	0.0648361275480235000000	-0.0402454563782269000000
-8.0753979943405100000000	0.0316119345566489000000	0.0004174293545771040000	-0.0007267166222549130000	0.0003646808551978840000	0.0647318703855916000000	-0.0378991593155613000000
-8.1426487417397900000000	0.0333203732312852000000	0.0004044111282850600000	-0.0007390130409969050000	0.0004293629285829170000	0.0658903766700727000000	-0.0417176371664362000000
-7.9538955285324700000000	0.0273092378787264000000	0.0004505922051706430000	-0.0007176258959672450000	0.0003437386406880910000	0.0644971454808366000000	-0.0364627514581881000000
-8.0930845497371800000000	0.0319656335728605000000	0.0004141620644513160000	-0.0007137397451616260000	0.0003544302537358330000	0.0640125456219584000000	-0.0365580989634659000000
-8.0077997645958800000000	0.0289164686678440000000	0.0004396911155657280000	-0.0007165551069730330000	0.0003719107352555370000	0.0641939545959358000000	-0.0380883159380831000000
-8.0310095037089500000000	0.0295698626036134000000	0.0004354729412876880000	-0.0007431740644285710000	0.0004136961119167680000	0.0659697294427710000000	-0.0404248786995646000000
-8.1898543067176900000000	0.0344872191325474000000	0.0003993600291698700000	-0.0007309456881671530000	0.0003739756688586090000	0.0651291761401211000000	-0.0381989843352506000000
-8.1612159803896300000000	0.0340720231384556000000	0.0003993022809780680000	-0.0007226194568725210000	0.0003652259007202840000	0.0646118506061058000000	-0.0377696072120039000000
-8.1564871344081300000000	0.0343459981895683000000	0.0003935625572368520000	-0.0007228288698751770000	0.0003973510904950570000	0.0645384352777836000000	-0.0392912068988241000000
-8.1148783456321100000000	0.0323051924197074000000	0.0004138825963696170000	-0.0007180597671062320000	0.0003276462759823430000	0.0643195969859238000000	-0.0350223322765963000000
-8.0687818591838100000000	0.0311151164405636000000	0.0004213082253815710000	-0.0007291162785389500000	0.0003940609550454020000	0.0649822275882868000000	-0.0398848305366964000000
-8.0268930144215200000000	0.0302368548466312000000	0.0004251827697178530000	-0.0007244128724526040000	0.0004445647383243400000	0.0645534383863354000000	-0.0431981548490030000000
-8.0771688708314900000000	0.0318471255213293000000	0.0004122244826090430000	-0.0007099186365484420000	0.0003230018428575030000	0.0638376179504412000000	-0.0347205202161543000000
