b0	b_age	b_age2	b_ays	b_ayqs	b_ys	b_yqs
-8.5758585352552200000000	0.0161370346720595000000	0.0006633316155499330000	-0.0007587881403176260000	0.0005045631342701240000	0.0692257636694348000000	-0.0465353650264143000000
-8.4563873418132300000000	0.0128934014937339000000	0.0006836986334416830000	-0.0007366991773764900000	0.0004660945548040220000	0.0677340761419531000000	-0.0429831582512932000000
-8.2783712472782400000000	0.0075380470213476700000	0.0007242307733430180000	-0.0007465735698270280000	0.0005326267142114720000	0.0683304648393139000000	-0.0482171879273282000000
-8.5249648373385700000000	0.0149167138830186000000	0.0006702938797925000000	-0.0007403485721646130000	0.0004787107819674450000	0.0678215885927006000000	-0.0437035313021673000000
-8.5736232013710700000000	0.0165174741762225000000	0.0006579988489857500000	-0.0007439107185625790000	0.0004857902923511610000	0.0681811158131516000000	-0.0449505836085869000000
-8.4723786685942300000000	0.0131242119614908000000	0.0006835120437120860000	-0.0007280207084077550000	0.0004416330411492060000	0.0672609683934089000000	-0.0420688029994767000000
-8.4273820547453000000000	0.0116917499533012000000	0.0006950639182274980000	-0.0007486504590577440000	0.0004611643716760370000	0.0686073695434572000000	-0.0433155062683626000000
-8.4652824014626500000000	0.0131458951430585000000	0.0006827840300450030000	-0.0007586745940182700000	0.0004622919646028310000	0.0691744465347612000000	-0.0435860455560663000000
-8.5378502175790000000000	0.0148368182422145000000	0.0006729037302090580000	-0.0007570388723968150000	0.0004322907880488210000	0.0691477739784364000000	-0.0408891372764747000000
-8.5673122934517800000000	0.0155216790769013000000	0.0006693297929984030000	-0.0007673187364345870000	0.0004416322225968640000	0.0696754766580246000000	-0.0414520414432223000000
-8.5541836404597500000000	0.0157820506431818000000	0.0006643457126832090000	-0.0007446782623395690000	0.0004904202384909140000	0.0681394618933118000000	-0.0452382243884533000000
-8.5090234888500100000000	0.0145685263264908000000	0.0006716617296667180000	-0.0007486444550113680000	0.0004620056685415840000	0.0685557652429137000000	-0.0429896463367133000000
-8.3521991387361500000000	0.0090286426002801200000	0.0007172285521052130000	-0.0007452195105707730000	0.0004517598093551900000	0.0683835007024307000000	-0.0422509454646720000000
-8.5780525538006300000000	0.0162513087616720000000	0.0006625371117601490000	-0.0007572775659312900000	0.0004569444436920480000	0.0690750168686520000000	-0.0431139559898957000000
-8.4103242917921000000000	0.0112842570493100000000	0.0006990023809266150000	-0.0007541968828241480000	0.0004904797987331430000	0.0689181779428023000000	-0.0454173712210476000000
-8.4597127696066200000000	0.0126467611275381000000	0.0006892313841049500000	-0.0007611687730399760000	0.0004891883910097590000	0.0694237185509725000000	-0.0451334374519504000000
-8.5018267839551100000000	0.0145621724841203000000	0.0006701772105902370000	-0.0007244526315035170000	0.0004859672335296250000	0.0669375920017977000000	-0.0449281903931630000000
-8.4336988121503300000000	0.0116572188067220000000	0.0006974245584895530000	-0.0007386448219146810000	0.0004229476156196410000	0.0678170644728940000000	-0.0407910572723355000000
-8.5088435285441400000000	0.0145214771416028000000	0.0006727931703233740000	-0.0007485221081952340000	0.0004934559309574340000	0.0685231867960990000000	-0.0456063281500229000000
-8.5343977759257200000000	0.0152358241659538000000	0.0006670449879685790000	-0.0007474668681933410000	0.0005051035584106630000	0.0684301580008784000000	-0.0458019293035875000000
-8.4911539503538000000000	0.0130182710452116000000	0.0006893922160722830000	-0.0007606783605218870000	0.0004834706005975390000	0.0694664204901490000000	-0.0445526862904741000000
-8.5743585786628500000000	0.0164372076316591000000	0.0006585289076146500000	-0.0007670524458934220000	0.0004395356133441200000	0.0698028540660610000000	-0.0418424722931838000000
-8.5813283568963300000000	0.0166099476866330000000	0.0006572266038337050000	-0.0007271596873821280000	0.0004808648984603210000	0.0669269939917011000000	-0.0443036165409456000000
-8.5007403570758900000000	0.0140394089510307000000	0.0006780330008576510000	-0.0007557104413584380000	0.0005051957396324720000	0.0689050847726174000000	-0.0462901796676157000000
-8.5122032931500700000000	0.0148165498926620000000	0.0006694822996495380000	-0.0007564202980340430000	0.0004956393662880670000	0.0689837804597413000000	-0.0456428717127730000000
-8.4421329869651600000000	0.0122031712535785000000	0.0006910533088984680000	-0.0007649042624556830000	0.0004738545187207490000	0.0698351556798604000000	-0.0438241629564224000000
-8.4819539632342800000000	0.0132332164120729000000	0.0006842846573073640000	-0.0007368150388483640000	0.0004408341740944940000	0.0679133217314089000000	-0.0414708176131772000000
-8.5204702471173700000000	0.0149445287667947000000	0.0006688475116199700000	-0.0007602568372682370000	0.0004814801786264960000	0.0693739299353412000000	-0.0442206727320985000000
-8.5605083959207100000000	0.0161950822410140000000	0.0006593420501805190000	-0.0007302333613431420000	0.0004905591894623740000	0.0672271469887797000000	-0.0455976247859021000000
-8.5649254366318600000000	0.0163106520225988000000	0.0006594378406890550000	-0.0007632864921013780000	0.0005165419210683940000	0.0695486962407314000000	-0.0469935789382540000000
-8.5891161099507600000000	0.0163042267370534000000	0.0006627791464071730000	-0.0007449059716114700000	0.0004932775996529640000	0.0684527202466267000000	-0.0455365925871672000000
-8.4506552460874300000000	0.0125952498339021000000	0.0006887788823692200000	-0.0007517526108461160000	0.0004588556256297860000	0.0686764301154526000000	-0.0434472661294610000000
-8.5426120051420900000000	0.0156817080564816000000	0.0006632124954255560000	-0.0007487053788133540000	0.0004352819362310750000	0.0685361173777279000000	-0.0412483207428849000000
-8.5082079187452900000000	0.0142749417480651000000	0.0006753070772651370000	-0.0007534173943498600000	0.0004668917412356690000	0.0688544096912930000000	-0.0436583273372764000000
-8.4023972237171700000000	0.0107656975509590000000	0.0007028362748102510000	-0.0007507083846882440000	0.0004188998644674940000	0.0687447294957411000000	-0.0402369772481124000000
-8.5208131105898300000000	0.0149055435722173000000	0.0006690310149440320000	-0.0007381142357165550000	0.0004643274482654010000	0.0678924890654719000000	-0.0433384201042877000000
-8.4695285226759300000000	0.0126449743773169000000	0.0006901997561006780000	-0.0007626770686526470000	0.0004669081019507300000	0.0698283225229325000000	-0.0443718264845816000000
-8.4333281900653000000000	0.0124305562816437000000	0.0006863769770592680000	-0.0007378457327963170000	0.0004404068599178110000	0.0676860271156179000000	-0.0420109204703647000000
-8.5386234513425900000000	0.0151634755637555000000	0.0006693172228367530000	-0.0007693290062275340000	0.0005098404055013670000	0.0700639941218680000000	-0.0465750195459694000000
-8.4698207604679800000000	0.0135079559841062000000	0.0006800049253276840000	-0.0007250528147953930000	0.0004586541607348440000	0.0667897005997309000000	-0.0432974011501839000000
-8.4637306473542600000000	0.0125648126099147000000	0.0006899356898338690000	-0.0007729030724950850000	0.0005146684360261870000	0.0703041703112130000000	-0.0466506177246353000000
-8.4565071203283400000000	0.0130006739360671000000	0.0006831603750916660000	-0.0007464973349714530000	0.0004637340959307300000	0.0684053008140600000000	-0.0431490510181829000000
-8.5204036502440800000000	0.0144938771586160000000	0.0006748735811870930000	-0.0007598929720972170000	0.0005333310112607500000	0.0693774660148625000000	-0.0476464426696495000000
-8.4136228072955100000000	0.0115206018180996000000	0.0006947001175618530000	-0.0007365337632047460000	0.0004651418102625030000	0.0678732068029178000000	-0.0430468146422704000000
-8.5493015055408300000000	0.0153781820375879000000	0.0006679333469358810000	-0.0007551119441155410000	0.0004645460032097890000	0.0692530869635143000000	-0.0437910877013678000000
-8.5588415611753500000000	0.0165362072760663000000	0.0006548333442785600000	-0.0007395535114189470000	0.0004630797866473550000	0.0679114924564556000000	-0.0438053851480530000000
-8.5215250805565500000000	0.0149669996919387000000	0.0006682239536681090000	-0.0007476540720733780000	0.0004611169507302280000	0.0685536799279227000000	-0.0432893918181015000000
-8.4394204340973800000000	0.0125242396307352000000	0.0006867470090019890000	-0.0007419730033148280000	0.0005135806412800610000	0.0679866651176993000000	-0.0468301198438093000000
-8.5054070642277400000000	0.0143516436936281000000	0.0006737694038340180000	-0.0007591284996203780000	0.0005152420869685770000	0.0693505464807791000000	-0.0469498279982593000000
-8.5826392948231900000000	0.0163303312950786000000	0.0006613168687676260000	-0.0007507879449954710000	0.0004802618596786560000	0.0687080706292654000000	-0.0442909578668892000000
-8.4628413723845500000000	0.0126345745365935000000	0.0006894110461465300000	-0.0007470728328694680000	0.0004273633464607770000	0.0684341030301543000000	-0.0407785302713180000000
-8.4121570952414300000000	0.0118497643221982000000	0.0006911434355164650000	-0.0007450002769207520000	0.0005383295757228170000	0.0681091617294905000000	-0.0489368758992989000000
-8.4288730983924300000000	0.0117950274651695000000	0.0006951680810238960000	-0.0007555065639936020000	0.0004406837156981450000	0.0688851977593490000000	-0.0419843926845108000000
-8.4260518140984600000000	0.0118903069868505000000	0.0006922191513441740000	-0.0007679709545275760000	0.0005301178478669700000	0.0698984918026838000000	-0.0479595217489595000000
-8.4648517809902200000000	0.0131260881851416000000	0.0006829817659191120000	-0.0007306168393238350000	0.0004461232698890030000	0.0673526037044107000000	-0.0424021645935338000000
-8.4647281729389000000000	0.0128715082424687000000	0.0006863429687294440000	-0.0007455282377169800000	0.0004667133012052540000	0.0683531606557456000000	-0.0436202390037527000000
-8.4064101425070200000000	0.0108128059546060000000	0.0007029556745002760000	-0.0007602296622899540000	0.0004731727482028890000	0.0694607665832587000000	-0.0441779062711079000000
-8.5501356098484900000000	0.0160556227356859000000	0.0006591071332894490000	-0.0007416766335238930000	0.0004818180314485310000	0.0681516635474274000000	-0.0446065091962373000000
-8.4863888857735100000000	0.0135247483458149000000	0.0006815261872572410000	-0.0007520446936719780000	0.0004818956086678920000	0.0686973321851743000000	-0.0444585462276682000000
-8.4569540477480100000000	0.0127477379477609000000	0.0006871831949540380000	-0.0007596360454224100000	0.0004844322462064500000	0.0692967184086355000000	-0.0452711452983784000000
-8.6416349426630300000000	0.0184249784476418000000	0.0006437347814912590000	-0.0007515480870267910000	0.0004616143492389230000	0.0688802890206085000000	-0.0434965615163088000000
-8.6024070327736700000000	0.0172477789479926000000	0.0006538134828123680000	-0.0007511275696174270000	0.0005301212508964190000	0.0685947837078466000000	-0.0480552533200856000000
-8.4623220913444200000000	0.0127274066449824000000	0.0006887187364866960000	-0.0007654536189621910000	0.0004990904850597100000	0.0694935258927253000000	-0.0460591445018560000000
-8.5213783391510600000000	0.0141772580481007000000	0.0006794458161641690000	-0.0007636573678090010000	0.0004934405803809990000	0.0695244438974732000000	-0.0451374102486407000000
-8.6192672627205500000000	0.0178645324052891000000	0.0006490336872728380000	-0.0007707796947392370000	0.0004809296985446980000	0.0698989739423008000000	-0.0445292427223437000000
-8.4998419148015600000000	0.0142729115662236000000	0.0006750301570307880000	-0.0007302503514455430000	0.0005059621616721420000	0.0672784582706021000000	-0.0469079568933461000000
-8.5557272733894700000000	0.0155858017886473000000	0.0006666426137652970000	-0.0007576618377279300000	0.0004646958884039060000	0.0692528101790238000000	-0.0435184033219733000000
-8.6140035701841800000000	0.0172628007485172000000	0.0006540595172908840000	-0.0007673668088100150000	0.0004916526095428880000	0.0697848663766006000000	-0.0443969512577160000000
-8.4468845241172900000000	0.0130104445688876000000	0.0006817360110634720000	-0.0007358462175988370000	0.0005289473783414550000	0.0676030252037081000000	-0.0481434468503178000000
-8.5020375232928900000000	0.0140150011099903000000	0.0006771376696116190000	-0.0007537663919927930000	0.0004728255045894730000	0.0691562519242642000000	-0.0437514176107468000000
-8.4131870374453800000000	0.0113919842001791000000	0.0006960930037673040000	-0.0007514941963380120000	0.0004363375058731770000	0.0688681945254614000000	-0.0413234922826993000000
-8.5031917520206000000000	0.0144544059133701000000	0.0006721857145247900000	-0.0007573960309538430000	0.0004886439827432000000	0.0691809769031665000000	-0.0448369311308142000000
-8.5746352270104700000000	0.0159056465247154000000	0.0006649818138799360000	-0.0007714969317907710000	0.0005202638580918590000	0.0703156177192391000000	-0.0469570380580961000000
-8.4329036339206600000000	0.0123082047742764000000	0.0006891476685737320000	-0.0007501494009357010000	0.0005181488530740080000	0.0686576420898775000000	-0.0468948351597405000000
